format,event,content
whatsapp,Nexus Cup Mobile Legends Season 3,"🔥 WAR TIKET NEXUS CUP MLBB SEASON 3 DIMULAI! 🔥

Warriors, siap-siap push rank ke level turnamen! Nexus Cup MLBB Season 3 resmi dibuka!

🎮 Format: 5v5 Single Elimination
🏆 Prize Pool: Rp15.000.000
📅 Registrasi: 1-10 Agustus 2026
📅 Match Day: 15-17 Agustus 2026
💳 Biaya Daftar: Rp150.000/tim

Slot terbatas cuma 32 tim, war tiket sekarang sebelum kehabisan!
Daftar squad kamu di [LINK DAFTAR] 🚨"
discord_telegram,Nexus Cup Mobile Legends Season 3,"**📢 PENGUMUMAN RESMI — NEXUS CUP MLBB SEASON 3**

Halo Warriors!

Admin mau kasih info penting soal Nexus Cup MLBB Season 3:

**Jadwal Registrasi:** 1-10 Agustus 2026
**Match Day:** 15-17 Agustus 2026
**Format:** 5v5 Single Elimination, Bo1 (Bo3 di Grand Final)
**Prize Pool:** Rp15.000.000

Rules lengkap & bracket bisa dicek di channel #rules setelah registrasi ditutup.
Ada kendala teknis atau pertanyaan? Langsung mention admin di sini ya.

GG in advance, Warriors! 🏆"
twitter_thread,Nexus Cup Mobile Legends Season 3,"1/ 🚨 NEXUS CUP MLBB SEASON 3 RESMI DIBUKA! Ini turnamen yang lo tunggu-tunggu, Warriors 👇

2/ 🎮 Format: 5v5 Single Elimination
🏆 Prize Pool: Rp15.000.000
📅 Match Day: 15-17 Agustus 2026

3/ Slot cuma buat 32 tim. War tiket bakal ketat, jangan sampe telat daftar!

4/ Daftar squad kamu sekarang di [LINK DAFTAR] sebelum slot ludes. Let's get that GG! 🔥 #NexusCube #EsportsIndonesia"
instagram_caption,Nexus Cup Mobile Legends Season 3,"Waktunya buktiin siapa squad terkuat di server 🔥⚔️

Nexus Cup MLBB Season 3 resmi dibuka buat kalian yang haus kemenangan!

🎮 Format: 5v5 Single Elimination
🏆 Prize Pool: Rp15.000.000
📅 Match Day: 15-17 Agustus 2026

Slot cuma 32 tim, war tiket sekarang sebelum kehabisan!
Link daftar ada di bio 🚀

#NexusCube #NexusCup #MLBBTournament #EsportsIndonesia"
whatsapp,Nexus Cube Valorant Showdown,"⚔️ VALORANT SHOWDOWN BY Nexus Cube! ⚔️

Squad, ini saatnya adu strategi dan aim di Valorant Showdown!

🎮 Format: 5v5 Bo1 (Bo3 Semifinal & Final)
🏆 Prize Pool: Rp10.000.000
📅 Match Day: 22-23 Agustus 2026
💳 Biaya Daftar: Rp100.000/tim

Cari lawan sepadan? Ini panggungnya. Daftar sekarang di [LINK DAFTAR] sebelum slot penuh! 💥"
discord_telegram,Nexus Cube Valorant Showdown,"**📢 PENGUMUMAN — VALORANT SHOWDOWN BY Nexus Cube**

Halo Squad!

Buat kalian yang jago di Valorant, ini kesempatan buat naik level:

**Match Day:** 22-23 Agustus 2026
**Format:** Bo1 fase grup, Bo3 semifinal & final
**Prize Pool:** Rp10.000.000

Info map pool dan rules detail akan di-pin di channel ini H-3 sebelum match day.
Kalau ada masalah teknis pas hari-H, langsung report ke admin on-duty ya!

Let's get that ace, Squad! 🎯"
twitter_thread,Nexus Cube Valorant Showdown,"1/ ⚔️ VALORANT SHOWDOWN BY Nexus Cube resmi dibuka! Buat kalian yang jago strategi & aim, merapat 👇

2/ 🎮 Format: Bo1 fase grup, Bo3 semifinal & final
🏆 Prize Pool: Rp10.000.000
📅 Match Day: 22-23 Agustus 2026

3/ Cari lawan sepadan? Ini panggungnya buat squad kamu unjuk gigi.

4/ Daftar sekarang di [LINK DAFTAR], slot terbatas! Let's get that ace 🎯 #NexusCube #ValorantIndonesia"
instagram_caption,Nexus Cube Valorant Showdown,"Strategi, aim, dan mental baja — semua diuji di sini ⚔️

Valorant Showdown by Nexus Cube resmi dibuka buat kalian yang siap naik level.

🎮 Format: Bo1 fase grup, Bo3 semifinal & final
🏆 Prize Pool: Rp10.000.000
📅 Match Day: 22-23 Agustus 2026

Cari lawan sepadan? Ini panggungnya. Daftar sekarang, link ada di bio 🎯

#NexusCube #ValorantShowdown #ValorantIndonesia #EsportsIndonesia"
whatsapp,Nexus Cube Free Fire Booyah Series,"Yo Squad! 🔥 Ada kabar gede nih dari Nexus Cube.

BOOYAH SERIES resmi balik lagi musim ini, dan kali ini hadiahnya paling gede sepanjang sejarah kita.

🔫 Format: Squad (4 orang), Battle Royale 3 map
🏆 Total Hadiah: Rp25.000.000
🗓️ War Tiket: 5-8 September 2026
🎮 Match Day: 14-15 September 2026
💸 Biaya Daftar: Rp120.000/squad

Yang mau ikutan buruan gerak, war tiket bakal ramai kayak biasa. Klik [LINK DAFTAR] buat amankan slot squad kamu 🏃‍♂️💨"
discord_telegram,Nexus Cube Free Fire Booyah Series,"**🎮 INFO RESMI — BOOYAH SERIES BY NEXUS CUBE**

Halo Squad,

Season baru Booyah Series udah di depan mata. Sebelum war tiket dibuka, ini rangkuman yang perlu kalian tau:

**War Tiket:** 5-8 September 2026
**Match Day:** 14-15 September 2026
**Format:** Squad, Battle Royale 3 map
**Total Hadiah:** Rp25.000.000

Peta dan aturan rotasi zona bakal di-share H-2 sebelum match day di channel #rules. Kalau ada kendala pas war tiket, langsung lapor ke admin on-duty, jangan panik dulu.

Semangat war tiket-nya, Squad! Booyah! 🔥"
twitter_thread,Nexus Cube Free Fire Booyah Series,"1/ BOOYAH SERIES resmi kembali 🔥 hadiah paling gede yang pernah Nexus Cube kasih. Cek detailnya di bawah 👇

2/ 🔫 Format: Squad 4 orang, 3 map
💰 Total Hadiah: Rp25.000.000
🗓️ War Tiket: 5-8 September

3/ Match Day tanggal 14-15 September, siapin squad terbaik kalian dari sekarang.

4/ War tiket biasanya cepet abis, jangan sampe nyesel. Link di [LINK DAFTAR] 🎮 #NexusCube #BooyahSeries #FreeFireIndonesia"
instagram_caption,Nexus Cube Free Fire Booyah Series,"Season paling ditunggu akhirnya balik lagi 🔥

BOOYAH SERIES by Nexus Cube — total hadiah Rp25.000.000, yang terbesar yang pernah kita kasih ke komunitas.

🔫 Squad 4 orang, battle royale 3 map
🗓️ War tiket: 5-8 September 2026
🎮 Match day: 14-15 September 2026

Siapin squad kalian, war tiket bakal ketat kayak biasa. Link daftar ada di bio, jangan sampe ketinggalan 🏃‍♂️

#NexusCube #BooyahSeries #FreeFireIndonesia #EsportsIndonesia"
whatsapp,Nexus Cube PUBG Mobile Championship,"Halo Survivors 🪂

Sesuatu yang ditunggu-tunggu akhirnya diumumin: PUBG Mobile Championship season ini bakal jadi yang paling kompetitif.

🎯 Format: Squad, TPP, 4 map rotation
🏆 Prize Pool: Rp18.000.000
📝 Registrasi: 10-15 September 2026
🎮 Match Day: 20-22 September 2026
💳 Biaya Daftar: Rp100.000/tim

Kuota terbatas, dan biasanya penuh sebelum deadline. Amankan slot tim kamu sekarang di [LINK DAFTAR], jangan nunggu last minute ✅"
discord_telegram,Nexus Cube PUBG Mobile Championship,"**📋 PENGUMUMAN — PUBG MOBILE CHAMPIONSHIP NEXUS CUBE**

Halo Survivors,

Berikut detail lengkap Championship season ini biar semua on the same page:

**Registrasi:** 10-15 September 2026
**Match Day:** 20-22 September 2026
**Format:** Squad, TPP, 4 map rotation
**Prize Pool:** Rp18.000.000

Technical meeting bakal diadain H-1 sebelum match day, wajib diikuti minimal 1 perwakilan tim. Link meeting nanti di-share di channel #pengumuman.

Good luck buat semua tim yang daftar 🎯"
twitter_thread,Nexus Cube PUBG Mobile Championship,"1/ PUBG Mobile Championship musim ini bakal jadi yang paling ketat. Survivors merapat, ini detailnya 👇

2/ 🎯 Format: Squad, TPP, 4 map rotation
🏆 Prize Pool: Rp18.000.000
📝 Registrasi: 10-15 September

3/ Match Day 20-22 September, technical meeting wajib H-1 buat semua tim.

4/ Kuota terbatas, biasanya penuh sebelum deadline. Amankan tim kamu di [LINK DAFTAR] 🪂 #NexusCube #PUBGMobileChampionship"
instagram_caption,Nexus Cube PUBG Mobile Championship,"Chicken dinner level kompetitif, ini dia 🪂

PUBG Mobile Championship by Nexus Cube resmi dibuka — format TPP, 4 map rotation, prize pool Rp18.000.000 nunggu tim terbaik musim ini.

🎯 Registrasi: 10-15 September 2026
🎮 Match Day: 20-22 September 2026

Kuota kompetisi terbatas, biasanya penuh sebelum deadline dibuka. Amankan slot tim kalian sekarang, link daftar ada di bio 🎮

#NexusCube #PUBGMobileChampionship #EsportsIndonesia"
